time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
17609.517,-0.053,0.495,0.892,35.284,3.714,-6.518,19.4166176281796,-27.7667881178956,-35.5916805816336
17646.648,-0.078,0.557,0.798,38.46,9.003,-5.398,19.4166176281796,-27.7667881178956,-35.5916805816336
17708.804,-0.078,0.557,0.798,38.46,9.003,-5.398,18.8401352787729,-30.6569398816881,-34.4190897923195
17727.481,-0.071,0.583,0.819,40.731,-4.143,-8.001,18.8401352787729,-30.6569398816881,-34.4190897923195
17806.033,-0.07,0.63,0.79,47.136,-3.508,-5.591,18.4980859812859,-32.7059036512205,-32.7774626872799
17886.863,-0.076,0.676,0.763,37.353,-0.875,-4.213,18.4980859812859,-32.7059036512205,-32.7774626872799
17905.96,-0.076,0.676,0.763,37.353,-0.875,-4.213,18.0370716165517,-34.5132097344109,-31.6048718979658
17965.638,-0.09,0.707,0.681,30.918,3.85,-2.524,18.0370716165517,-34.5132097344109,-31.6048718979658
18005.24,-0.09,0.707,0.681,30.918,3.85,-2.524,18.3921369869804,-34.5157730165979,-30.4322811086517
18044.419,-0.095,0.752,0.658,39.659,1.57,-2.73,18.3921369869804,-34.5157730165979,-30.4322811086517
18104.524,-0.095,0.752,0.658,39.659,1.57,-2.73,17.8189923630472,-36.0855226649456,-27.8525813721607
18125.253,-0.094,0.784,0.652,36.701,1.929,-2.861,17.8189923630472,-36.0855226649456,-27.8525813721607
18201.762,-0.094,0.784,0.652,36.701,1.929,-2.861,17.4698256224767,-36.4471547670628,-27.5398904950103
18204.037,-0.098,0.814,0.587,36.802,9.174,-1.767,17.4698256224767,-36.4471547670628,-27.5398904950103
18282.594,-0.112,0.855,0.521,45.018,9.913,-2.66,17.4698256224767,-36.4471547670628,-27.5398904950103
18301.687,-0.112,0.855,0.521,45.018,9.913,-2.66,17.828675007782,-36.0913327712362,-25.1947089163822
18363.418,-0.12,0.842,0.498,56.739,1.802,-7.236,17.828675007782,-36.0913327712362,-25.1947089163822
18400.97,-0.12,0.842,0.498,56.739,1.802,-7.236,17.3687594012889,-37.6588609083551,-23.6312545306301
18442.201,-0.12,0.91,0.425,35.205,-0.048,-3.237,17.3687594012889,-37.6588609083551,-23.6312545306301
18500.258,-0.12,0.91,0.425,35.205,-0.048,-3.237,17.4928898766892,-38.9855857865279,-22.1459728641656
18520.985,-0.12,0.91,0.425,29.036,1.159,0.118,17.4928898766892,-38.9855857865279,-22.1459728641656
18523.359,-0.12,0.892,0.378,29.036,1.159,0.118,17.4928898766892,-38.9855857865279,-22.1459728641656
18597.498,-0.12,0.892,0.378,29.036,1.159,0.118,17.4968768480506,-38.9879781832357,-21.0515547941391
18601.825,-0.125,0.907,0.38,24.504,1.023,8.973,17.4968768480506,-38.9879781832357,-21.0515547941391
